Date : 2020-04-14 13:05:08
Directory : c:\Users\benro\Documents\workspaces\senior-design
Total : 216 files,  19785 codes, 979 comments, 3126 blanks, all 23890 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\PageSelector.jsx                                | JavaScript React |        100 |          1 |         25 |        126 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\ShibLogin.jsx                                   | JavaScript React |         77 |          0 |          7 |         84 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\Tabs.jsx                                        | JavaScript React |        224 |          4 |         29 |        257 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\AssetConstants.jsx                       | JavaScript React |          6 |          0 |          6 |         12 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\enums\AssetCommands.ts                   | TypeScript       |         27 |          0 |          1 |         28 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\enums\AssetInputs.ts                     | TypeScript       |         16 |          0 |          1 |         17 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\helpers\AddAsset.jsx                     | JavaScript React |        134 |          0 |         15 |        149 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\helpers\CreateAsset.jsx                  | JavaScript React |        784 |         10 |         83 |        877 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\helpers\DetailsAsset.jsx                 | JavaScript React |        125 |          0 |         17 |        142 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\helpers\EditAsset.jsx                    | JavaScript React |        984 |          7 |        102 |      1,093 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\helpers\ExportAsset.jsx                  | JavaScript React |        262 |          0 |         22 |        284 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\helpers\FilterAsset.jsx                  | JavaScript React |        291 |          0 |         26 |        317 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\helpers\ImpExpAsset.jsx                  | JavaScript React |        148 |          0 |         19 |        167 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\helpers\ImportAsset.jsx                  | JavaScript React |        130 |          0 |         17 |        147 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\helpers\NetworkGraph.jsx                 | JavaScript React |        141 |         21 |         24 |        186 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\helpers\TableAssets.jsx                  | JavaScript React |        606 |          2 |         61 |        669 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\helpers\functions\StringToMacAddress.jsx | JavaScript React |         38 |         10 |         12 |         60 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\helpers\functions\StringToRack.jsx       | JavaScript React |          3 |         13 |         10 |         26 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\helpers\functions\createAssetJSON.jsx    | JavaScript React |         15 |          0 |          1 |         16 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\pages\AssetsView.jsx                     | JavaScript React |         52 |          0 |          6 |         58 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\assets\stylesheets\AssetStyles.css              | CSS              |          5 |          0 |          2 |          7 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\changeplans\pages\ChangePlans.jsx               | JavaScript React |        660 |         44 |         80 |        784 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\enums\privilegeTypes.ts                         | TypeScript       |          4 |          0 |          1 |          5 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\errors\ErrorBoundry.jsx                         | JavaScript React |         18 |          4 |          6 |         28 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\helpers\ConfirmationBox.jsx                     | JavaScript React |         42 |          0 |          7 |         49 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\helpers\DisplayRack.jsx                         | JavaScript React |         31 |          0 |          6 |         37 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\helpers\Logout.jsx                              | JavaScript React |          3 |          1 |          2 |          6 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\helpers\StatusDisplay.jsx                       | JavaScript React |         35 |          0 |          7 |         42 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\helpers\TableView.jsx                           | JavaScript React |         42 |          0 |          6 |         48 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\helpers\UploadModal.jsx                         | JavaScript React |         42 |          0 |          4 |         46 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\helpers\functions\DescendingComparator.jsx      | JavaScript React |          9 |          0 |          1 |         10 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\helpers\functions\GetComparator.jsx             | JavaScript React |          6 |          0 |          2 |          8 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\helpers\functions\GetShibParams.jsx             | JavaScript React |          3 |          0 |          3 |          6 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\helpers\functions\GetURL.jsx                    | JavaScript React |          4 |          0 |          2 |          6 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\helpers\functions\JSONtoArr.jsx                 | JavaScript React |         20 |          0 |          5 |         25 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\helpers\functions\StableSort.jsx                | JavaScript React |          9 |          0 |          1 |         10 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\logs\enums\LogCommands.ts                       | TypeScript       |          4 |          0 |          1 |          5 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\logs\pages\LogsView.jsx                         | JavaScript React |        189 |          0 |         26 |        215 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\models\ModelConstants.jsx                       | JavaScript React |          1 |          0 |          4 |          5 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\models\enums\ModelCommands.ts                   | TypeScript       |         11 |          0 |          1 |         12 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\models\enums\ModelInputs.ts                     | TypeScript       |         12 |          0 |          1 |         13 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\models\helpers\ButtonsModel.jsx                 | JavaScript React |         33 |          0 |          5 |         38 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\models\helpers\CreateModel.jsx                  | JavaScript React |        345 |          0 |         26 |        371 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\models\helpers\DetailModel.jsx                  | JavaScript React |        279 |          0 |         22 |        301 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\models\helpers\ExportModel.jsx                  | JavaScript React |         67 |          0 |          4 |         71 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\models\helpers\FilterModel.jsx                  | JavaScript React |        125 |          0 |          9 |        134 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\models\helpers\ModelsTable.jsx                  | JavaScript React |        629 |          6 |         46 |        681 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\models\pages\ModelsView.jsx                     | JavaScript React |        520 |          7 |         66 |        593 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\models\stylesheets\ModelStyles.css              | CSS              |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\racks\RacksConstants.jsx                        | JavaScript React |          1 |          0 |          3 |          4 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\racks\enums\DatacenterCommands.ts               | TypeScript       |          6 |          0 |          1 |          7 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\racks\enums\RackCommands.ts                     | TypeScript       |          6 |          0 |          1 |          7 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\racks\helpers\ConfirmDeleteDC.jsx               | JavaScript React |        104 |          0 |         11 |        115 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\racks\helpers\CreateDatacenter.jsx              | JavaScript React |        220 |          0 |         25 |        245 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\racks\helpers\EditDatacenter.jsx                | JavaScript React |        157 |          0 |         17 |        174 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\racks\helpers\functions\ShowDatacenters.jsx     | JavaScript React |        157 |          0 |         19 |        176 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\racks\pages\DatacenterManagerView.jsx           | JavaScript React |         28 |          0 |         12 |         40 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\racks\pages\DatacentersView.jsx                 | JavaScript React |        272 |          0 |         32 |        304 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\racks\pages\RacksView.jsx                       | JavaScript React |        141 |          3 |         28 |        172 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\racks\stylesheets\RackStyles.css                | CSS              |         33 |          0 |          6 |         39 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\serviceWorker.js                                | JavaScript       |         94 |         31 |         13 |        138 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\statistics\enums\StatsCommands.ts               | TypeScript       |          4 |          0 |          1 |          5 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\statistics\pages\StatisticsView.jsx             | JavaScript React |        196 |          0 |         16 |        212 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\users\UserConstants.jsx                         | JavaScript React |          9 |          0 |          7 |         16 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\users\enums\PrivilegeCommands.ts                | TypeScript       |          3 |          0 |          1 |          4 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\users\enums\UserCommands.ts                     | TypeScript       |          8 |          0 |          1 |          9 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\users\enums\UserInputs.ts                       | TypeScript       |          7 |          0 |          1 |          8 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\users\helpers\ButtonsUser.jsx                   | JavaScript React |         33 |          0 |          5 |         38 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\users\helpers\CreateUser.jsx                    | JavaScript React |        117 |          0 |         13 |        130 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\users\helpers\DetailUser.jsx                    | JavaScript React |        104 |          0 |          9 |        113 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\users\helpers\FilterUser.jsx                    | JavaScript React |        125 |          0 |         12 |        137 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\users\helpers\UsersTable.jsx                    | JavaScript React |        229 |          0 |         22 |        251 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\users\helpers\functions\MakeCreateJSON.jsx      | JavaScript React |         10 |          0 |          2 |         12 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\users\helpers\functions\MakeDeleteJSON.jsx      | JavaScript React |          6 |          0 |          2 |          8 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\users\helpers\functions\MakeDetailViewJSON.jsx  | JavaScript React |          6 |          0 |          2 |          8 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\users\helpers\functions\MakeEditJSON.jsx        | JavaScript React |         11 |          0 |          2 |         13 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\users\helpers\functions\PrivilegePicker.jsx     | JavaScript React |         78 |          0 |          9 |         87 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\users\pages\UsersView.jsx                       | JavaScript React |        261 |          1 |         27 |        289 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\react-app-env.d.ts                                         | TypeScript       |          0 |          1 |          1 |          2 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\stylesheets\App.css                                        | CSS              |         33 |          0 |          6 |         39 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\stylesheets\Models.css                                     | CSS              |          0 |          0 |          1 |          1 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\stylesheets\TabStyles.css                                  | CSS              |         49 |          1 |         13 |         63 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\stylesheets\index.css                                      | CSS              |         12 |          0 |          2 |         14 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\tests\App.test.js                                          | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\tests\TestValues.jsx                                       | JavaScript React |         81 |          0 |          3 |         84 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\tests\setupTests.js                                        | JavaScript       |          1 |          4 |          1 |          6 |
| c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\tsconfig.json                                                  | JSON             |         25 |          0 |          1 |         26 |
| c:\Users\benro\Documents\workspaces\senior-design\page.html                                                                                  | HTML             |          7 |          0 |          1 |          8 |
| c:\Users\benro\Documents\workspaces\senior-design\requirements.in                                                                            | pip requirements |         80 |          0 |          1 |         81 |
| c:\Users\benro\Documents\workspaces\senior-design\requirements.txt                                                                           | pip requirements |         64 |          8 |          2 |         74 |
| c:\Users\benro\Documents\workspaces\senior-design\templates\index.html                                                                       | HTML             |          1 |          0 |          1 |          2 |
| c:\Users\benro\Documents\workspaces\senior-design\uwsgi.ini                                                                                  | Ini              |          7 |          0 |          1 |          8 |
| Total                                                                                                                                        |                  |     19,785 |        979 |      3,126 |     23,890 |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
